변환,GDP_변동률,원유_변동률,미국금리,생산자물가지수(PPI)_증감률률,소비자물가지수(CPI)_변동률,실업률,환율_변동율,기업대출,가계대출,신용카드대출,주택매매가격지수_변동율,통화량_변동율,기준금리
1954/07,,,0.25,,,,,,,,,,
1954/08,,,1.44,,,,,,,,,,
1954/09,,,1.44,,,,,,,,,,
1954/10,,,1.13,,,,,,,,,,
1954/11,,,1.38,,,,,,,,,,
1954/12,,,1.44,,,,,,,,,,
1955/01,,,1.44,,,,,,,,,,
1955/02,,,1.44,,,,,,,,,,
1955/03,,,1.44,,,,,,,,,,
1955/04,,,1.69,,,,,,,,,,
1955/05,,,1.69,,,,,,,,,,
1955/06,,,1.69,,,,,,,,,,
1955/07,,,1.75,,,,,,,,,,
1955/08,,,2.0,,,,,,,,,,
1955/09,,,2.19,,,,,,,,,,
1955/10,,,2.25,,,,,,,,,,
1955/11,,,2.44,,,,,,,,,,
1955/12,,,2.5,,,,,,,,,,
1956/01,,,2.5,,,,,,,,,,
1956/02,,,2.5,,,,,,,,,,
1956/03,,,2.5,,,,,,,,,,
1956/04,,,2.75,,,,,,,,,,
1956/05,,,2.75,,,,,,,,,,
1956/06,,,2.75,,,,,,,,,,
1956/07,,,2.69,,,,,,,,,,
1956/08,,,3.0,,,,,,,,,,
1956/09,,,3.0,,,,,,,,,,
1956/10,,,3.0,,,,,,,,,,
1956/11,,,3.0,,,,,,,,,,
1956/12,,,3.0,,,,,,,,,,
1957/01,,,3.0,,,,,,,,,,
1957/02,,,3.0,,,,,,,,,,
1957/03,,,2.94,,,,,,,,,,
1957/04,,,3.0,,,,,,,,,,
1957/05,,,3.0,,,,,,,,,,
1957/06,,,3.0,,,,,,,,,,
1957/07,,,2.88,,,,,,,,,,
1957/08,,,3.5,,,,,,,,,,
1957/09,,,3.5,,,,,,,,,,
1957/10,,,3.5,,,,,,,,,,
1957/11,,,3.0,,,,,,,,,,
1957/12,,,3.0,,,,,,,,,,
1958/01,,,1.5,,,,,,,,,,
1958/02,,,0.5,,,,,,,,,,
1958/03,,,0.5,,,,,,,,,,
1958/04,,,0.25,,,,,,,,,,
1958/05,,,0.13,,,,,,,,,,
1958/06,,,0.5,,,,,,,,,,
1958/07,,,0.38,,,,,,,,,,
1958/08,,,1.75,,,,,,,,,,
1958/09,,,1.5,,,,,,,,,,
1958/10,,,2.0,,,,,,,,,,
1958/11,,,2.5,,,,,,,,,,
1958/12,,,2.38,,,,,,,,,,
1959/01,,,2.5,,,,,,,,,,
1959/02,,,2.5,,,,,,,,,,
1959/03,,,3.0,,,,,,,,,,
1959/04,,,3.0,,,,,,,,,,
1959/05,,,3.25,,,,,,,,,,
1959/06,,,3.0,,,,,,,,,,
1959/07,,,3.5,,,,,,,,,,
1959/08,,,3.5,,,,,,,,,,
1959/09,,,3.0,,,,,,,,,,
1959/10,,,4.0,,,,,,,,,,
1959/11,,,4.0,,,,,,,,,,
1959/12,,,4.0,,,,,,,,,,
1960/01,,,4.0,,,,,,,,,,
1960/02,,,4.0,,,,,,,,,,
1960/03,,,4.0,,,,,,,,,,
1960/04,,,4.0,,,,,,,,,,
1960/05,,,3.5,,,,,,,,,,
1960/06,,,3.5,,,,,,,,,,
1960/07,,,3.25,,,,,,,,,,
1960/08,,,3.0,,,,,,,,,,
1960/09,,,3.0,,,,,,,,,,
1960/10,,,2.75,,,,,,,,,,
