변환,원자료,원자료,원자료,원자료,원자료,원자료
"1990/01","","22.60","17.50","20.99","","38.00"
"1990/02","","22.20","16.68","19.70","","38.00"
"1990/03","","20.44","15.76","18.47","","38.00"
"1990/04","","18.53","14.25","16.93","","38.00"
"1990/05","","18.44","14.65","16.67","","40.50"
"1990/06","","16.70","13.28","15.55","","40.50"
"1990/07","","18.64","15.31","17.47","","40.50"
"1990/08","","27.15","25.09","26.95","","40.50"
"1990/09","","33.56","30.35","34.66","","40.50"
"1990/10","","36.34","31.41","36.27","","40.50"
"1990/11","","32.40","28.08","32.96","","40.50"
"1990/12","","27.12","23.26","27.87","","40.50"
"1991/01","","24.96","19.63","23.98","1.43","40.50"
"1991/02","","20.67","14.52","19.29","1.41","40.50"
"1991/03","","19.87","15.01","19.56","1.36","39.50"
"1991/04","","20.82","15.37","19.34","1.36","39.50"
"1991/05","","21.27","15.94","19.22","1.34","39.50"
"1991/06","","20.19","15.41","18.17","1.25","39.50"
"1991/07","","21.41","16.23","19.45","1.15","39.50"
"1991/08","","21.69","16.61","19.78","1.30","39.50"
"1991/09","","21.88","17.80","20.54","1.47","39.50"
"1991/10","","23.25","18.88","22.21","1.68","39.50"
"1991/11","","22.41","18.35","21.11","1.81","39.50"
"1991/12","","19.47","15.30","18.25","1.85","39.50"
"1992/01","","18.81","15.22","18.16","1.44","39.50"
"1992/02","","19.07","15.72","18.11","1.18","39.50"
"1992/03","","18.93","15.75","17.66","1.26","39.50"
"1992/04","","20.24","16.64","19.02","1.39","39.50"
"1992/05","","21.00","17.59","19.98","1.55","39.50"
"1992/06","","22.41","19.01","21.19","1.59","39.50"
"1992/07","","21.76","18.49","20.33","1.68","39.50"
"1992/08","","21.37","17.80","19.79","1.91","39.50"
"1992/09","","21.89","18.38","20.29","2.09","39.50"
"1992/10","","21.71","18.14","20.31","2.42","37.25"
"1992/11","","20.35","17.14","19.20","2.28","35.00"
"1992/12","","19.45","16.22","18.27","2.21","35.00"
"1993/01","","19.09","15.32","17.51","1.95","35.00"
"1993/02","","20.08","16.05","18.45","1.74","31.00"
"1993/03","","20.34","16.31","18.84","2.17","31.00"
"1993/04","","20.28","16.39","18.78","2.33","31.00"
"1993/05","","19.99","16.12","18.58","2.14","31.00"
"1993/06","","19.12","15.64","17.63","1.97","31.00"
"1993/07","","17.88","14.21","16.81","2.05","31.00"
"1993/08","","18.00","14.65","16.84","2.32","31.00"
"1993/09","","17.53","14.13","16.14","2.25","31.00"
"1993/10","","18.17","14.75","16.64","2.04","31.00"
"1993/11","","16.69","13.79","15.24","2.30","31.00"
"1993/12","","14.51","12.22","13.56","2.12","31.00"
"1994/01","","15.01","13.08","14.27","2.38","31.00"
"1994/02","","14.77","12.75","13.77","2.74","31.00"
"1994/03","","14.65","12.08","13.77","2.13","29.50"
"1994/04","","16.35","13.75","15.09","2.04","29.50"
"1994/05","","17.83","14.79","16.42","1.93","31.40"
"1994/06","","19.01","15.69","17.11","1.96","33.60"
"1994/07","","19.62","16.40","18.12","1.90","33.10"
"1994/08","","18.38","15.93","16.91","1.63","33.10"
"1994/09","","17.44","15.25","16.04","1.48","33.10"
"1994/10","","17.66","15.37","16.55","1.52","33.10"
"1994/11","","18.09","15.92","17.41","1.58","33.10"
"1994/12","","17.21","15.46","16.04","1.69","36.10"
"1995/01","","17.98","16.01","16.65","1.49","37.10"
"1995/02","","18.54","16.55","17.27","1.52","37.60"
"1995/03","","18.54","16.33","17.24","1.52","38.35"
"1995/04","","19.76","17.38","18.82","1.63","37.10"
"1995/05","","19.69","17.29","18.68","1.66","38.77"
"1995/06","","18.42","16.19","17.35","1.63","40.77"
"1995/07","","17.32","15.07","16.08","1.43","41.05"
"1995/08","","18.03","15.41","16.26","1.53","40.88"
"1995/09","","18.22","15.53","16.69","1.63","40.93"
"1995/10","","17.44","14.87","16.19","1.76","40.97"
"1995/11","","17.98","15.74","16.91","1.99","39.59"
"1995/12","","19.05","17.17","18.24","2.67","39.35"
"1996/01","","18.90","16.72","18.14","2.93","39.37"
"1996/02","","19.08","16.00","17.85","3.83","39.28"
"1996/03","","21.33","16.97","19.81","2.92","39.01"
"1996/04","","23.53","17.66","21.20","2.25","39.33"
"1996/05","","21.27","16.92","19.32","2.24","38.20"
"1996/06","","20.44","17.31","18.58","2.49","38.20"
"1996/07","","21.31","17.72","19.71","2.56","38.40"
"1996/08","","21.93","18.60","20.61","2.04","38.35"
"1996/09","","23.91","20.27","23.08","1.83","38.10"
"1996/10","","24.90","21.63","24.27","2.27","37.60"
"1996/11","","23.71","20.95","23.10","3.08","35.70"
"1996/12","","25.52","21.57","24.04","3.81","35.35"
"1997/01","","25.20","21.41","23.61","3.28","35.23"
"1997/02","","22.22","18.89","20.92","2.13","34.60"
"1997/03","","20.97","18.17","19.56","1.89","34.50"
"1997/04","","19.72","16.76","17.78","2.01","35.40"
"1997/05","","20.85","18.48","19.25","2.22","35.73"
"1997/06","","19.16","17.27","17.80","2.20","34.50"
"1997/07","","19.63","17.28","18.56","2.17","35.00"
"1997/08","","19.93","17.69","18.82","2.44","36.93"
"1997/09","","19.78","17.96","18.58","2.85","37.15"
