변환,원자료,전기대비증감,전기대비증감률
"1954/07","0.250","",""
"1954/08","1.440","1.190","476.0"
"1954/09","1.440","0.000","0.0"
"1954/10","1.130","-0.310","-21.5"
"1954/11","1.380","0.250","22.1"
"1954/12","1.440","0.060","4.3"
"1955/01","1.440","0.000","0.0"
"1955/02","1.440","0.000","0.0"
"1955/03","1.440","0.000","0.0"
"1955/04","1.690","0.250","17.4"
"1955/05","1.690","0.000","0.0"
"1955/06","1.690","0.000","0.0"
"1955/07","1.750","0.060","3.6"
"1955/08","2.000","0.250","14.3"
"1955/09","2.190","0.190","9.5"
"1955/10","2.250","0.060","2.7"
"1955/11","2.440","0.190","8.4"
"1955/12","2.500","0.060","2.5"
"1956/01","2.500","0.000","0.0"
"1956/02","2.500","0.000","0.0"
"1956/03","2.500","0.000","0.0"
"1956/04","2.750","0.250","10.0"
"1956/05","2.750","0.000","0.0"
"1956/06","2.750","0.000","0.0"
"1956/07","2.690","-0.060","-2.2"
"1956/08","3.000","0.310","11.5"
"1956/09","3.000","0.000","0.0"
"1956/10","3.000","0.000","0.0"
"1956/11","3.000","0.000","0.0"
"1956/12","3.000","0.000","0.0"
"1957/01","3.000","0.000","0.0"
"1957/02","3.000","0.000","0.0"
"1957/03","2.940","-0.060","-2.0"
"1957/04","3.000","0.060","2.0"
"1957/05","3.000","0.000","0.0"
"1957/06","3.000","0.000","0.0"
"1957/07","2.880","-0.120","-4.0"
"1957/08","3.500","0.620","21.5"
"1957/09","3.500","0.000","0.0"
"1957/10","3.500","0.000","0.0"
"1957/11","3.000","-0.500","-14.3"
"1957/12","3.000","0.000","0.0"
"1958/01","1.500","-1.500","-50.0"
"1958/02","0.500","-1.000","-66.7"
"1958/03","0.500","0.000","0.0"
"1958/04","0.250","-0.250","-50.0"
"1958/05","0.130","-0.120","-48.0"
"1958/06","0.500","0.370","284.6"
"1958/07","0.380","-0.120","-24.0"
"1958/08","1.750","1.370","360.5"
"1958/09","1.500","-0.250","-14.3"
"1958/10","2.000","0.500","33.3"
"1958/11","2.500","0.500","25.0"
"1958/12","2.380","-0.120","-4.8"
"1959/01","2.500","0.120","5.0"
"1959/02","2.500","0.000","0.0"
"1959/03","3.000","0.500","20.0"
"1959/04","3.000","0.000","0.0"
"1959/05","3.250","0.250","8.3"
"1959/06","3.000","-0.250","-7.7"
"1959/07","3.500","0.500","16.7"
"1959/08","3.500","0.000","0.0"
"1959/09","3.000","-0.500","-14.3"
"1959/10","4.000","1.000","33.3"
"1959/11","4.000","0.000","0.0"
"1959/12","4.000","0.000","0.0"
"1960/01","4.000","0.000","0.0"
"1960/02","4.000","0.000","0.0"
"1960/03","4.000","0.000","0.0"
"1960/04","4.000","0.000","0.0"
"1960/05","3.500","-0.500","-12.5"
"1960/06","3.500","0.000","0.0"
"1960/07","3.250","-0.250","-7.1"
"1960/08","3.000","-0.250","-7.7"
"1960/09","3.000","0.000","0.0"
"1960/10","2.750","-0.250","-8.3"
"1960/11","0.250","-2.500","-90.9"
"1960/12","3.000","2.750","1,100.0"
"1961/01","2.250","-0.750","-25.0"
"1961/02","2.000","-0.250","-11.1"
"1961/03","2.000","0.000","0.0"
"1961/04","0.500","-1.500","-75.0"
"1961/05","1.000","0.500","100.0"
"1961/06","0.500","-0.500","-50.0"
