변환,원자료,전기대비증감,전기대비증감률
"1965/01","4.88","",""
"1965/02","4.92","0.04","0.8"
"1965/03","4.88","-0.04","-0.8"
"1965/04","4.88","0.00","0.0"
"1965/05","4.98","0.10","2.0"
"1965/06","5.08","0.10","2.0"
"1965/07","5.10","0.02","0.4"
"1965/08","5.10","0.00","0.0"
"1965/09","5.12","0.02","0.4"
"1965/10","5.11","-0.01","-0.2"
"1965/11","5.10","-0.01","-0.2"
"1965/12","5.13","0.03","0.6"
"1966/01","5.17","0.04","0.8"
"1966/02","5.25","0.08","1.5"
"1966/03","5.28","0.03","0.6"
"1966/04","5.37","0.09","1.7"
"1966/05","5.47","0.10","1.9"
"1966/06","5.55","0.08","1.5"
"1966/07","5.58","0.03","0.5"
"1966/08","5.61","0.03","0.5"
"1966/09","5.61","0.00","0.0"
"1966/10","5.61","0.00","0.0"
"1966/11","5.57","-0.04","-0.7"
"1966/12","5.59","0.02","0.4"
"1967/01","5.56","-0.03","-0.5"
"1967/02","5.60","0.04","0.7"
"1967/03","5.63","0.03","0.5"
"1967/04","5.75","0.12","2.1"
"1967/05","5.82","0.07","1.2"
"1967/06","5.84","0.02","0.3"
"1967/07","5.86","0.02","0.3"
"1967/08","5.90","0.04","0.7"
"1967/09","5.93","0.03","0.5"
"1967/10","5.94","0.01","0.2"
"1967/11","5.98","0.04","0.7"
"1967/12","5.99","0.01","0.2"
"1968/01","6.09","0.10","1.7"
"1968/02","6.18","0.09","1.5"
"1968/03","6.22","0.04","0.6"
"1968/04","6.25","0.03","0.5"
"1968/05","6.27","0.02","0.3"
"1968/06","6.29","0.02","0.3"
"1968/07","6.30","0.01","0.2"
"1968/08","6.31","0.01","0.2"
"1968/09","6.30","-0.01","-0.2"
"1968/10","6.40","0.10","1.6"
"1968/11","6.48","0.08","1.3"
"1968/12","6.43","-0.05","-0.8"
"1969/01","6.53","0.10","1.6"
"1969/02","6.60","0.07","1.1"
"1969/03","6.62","0.02","0.3"
"1969/04","6.65","0.03","0.5"
"1969/05","6.69","0.04","0.6"
"1969/06","6.72","0.03","0.4"
"1969/07","6.73","0.01","0.1"
"1969/08","6.73","0.00","0.0"
"1969/09","6.77","0.04","0.6"
"1969/10","6.81","0.04","0.6"
"1969/11","6.84","0.03","0.4"
"1969/12","6.91","0.07","1.0"
"1970/01","7.08","0.17","2.5"
"1970/02","7.14","0.06","0.8"
"1970/03","7.21","0.07","1.0"
"1970/04","7.30","0.09","1.2"
"1970/05","7.33","0.03","0.4"
"1970/06","7.33","0.00","0.0"
"1970/07","7.34","0.01","0.1"
"1970/08","7.36","0.02","0.3"
"1970/09","7.43","0.07","1.0"
"1970/10","7.43","0.00","0.0"
"1970/11","7.50","0.07","0.9"
"1970/12","7.55","0.05","0.7"
"1971/01","7.59","0.04","0.5"
"1971/02","7.63","0.04","0.5"
"1971/03","7.65","0.02","0.3"
"1971/04","7.69","0.04","0.5"
"1971/05","7.76","0.07","0.9"
"1971/06","7.89","0.13","1.7"
"1971/07","7.86","-0.03","-0.4"
"1971/08","7.93","0.07","0.9"
"1971/09","8.21","0.28","3.5"
"1971/10","8.37","0.16","1.9"
"1971/11","8.45","0.08","1.0"
"1971/12","8.53","0.08","0.9"
"1972/01","8.60","0.07","0.8"
"1972/02","8.80","0.20","2.3"
"1972/03","8.97","0.17","1.9"
"1972/04","9.03","0.06","0.7"
"1972/05","9.11","0.08","0.9"
