변환,원자료,전기대비증감,전기대비증감률
"1965/01","2.493","",""
"1965/02","2.548","0.055","2.2"
"1965/03","2.553","0.005","0.2"
"1965/04","2.593","0.04","1.6"
"1965/05","2.645","0.052","2.0"
"1965/06","2.621","-0.024","-0.9"
"1965/07","2.654","0.033","1.3"
"1965/08","2.682","0.028","1.1"
"1965/09","2.668","-0.014","-0.5"
"1965/10","2.652","-0.016","-0.6"
"1965/11","2.607","-0.045","-1.7"
"1965/12","2.615","0.008","0.3"
"1966/01","2.678","0.063","2.4"
"1966/02","2.754","0.076","2.8"
"1966/03","2.798","0.044","1.6"
"1966/04","2.827","0.029","1.0"
"1966/05","2.906","0.079","2.8"
"1966/06","2.91","0.004","0.1"
"1966/07","2.897","-0.013","-0.4"
"1966/08","2.957","0.06","2.1"
"1966/09","3.012","0.055","1.9"
"1966/10","3.09","0.078","2.6"
"1966/11","3.012","-0.078","-2.5"
"1966/12","3.014","0.002","0.1"
"1967/01","3.031","0.017","0.6"
"1967/02","3.074","0.043","1.4"
"1967/03","3.117","0.043","1.4"
"1967/04","3.201","0.084","2.7"
"1967/05","3.232","0.031","1.0"
"1967/06","3.196","-0.036","-1.1"
"1967/07","3.201","0.005","0.2"
"1967/08","3.24","0.039","1.2"
"1967/09","3.292","0.052","1.6"
"1967/10","3.344","0.052","1.6"
"1967/11","3.365","0.021","0.6"
"1967/12","3.362","-0.003","-0.1"
"1968/01","3.428","0.066","2.0"
"1968/02","3.481","0.053","1.5"
"1968/03","3.516","0.035","1.0"
"1968/04","3.514","-0.002","-0.1"
"1968/05","3.521","0.007","0.2"
"1968/06","3.535","0.014","0.4"
"1968/07","3.533","-0.002","-0.1"
"1968/08","3.555","0.022","0.6"
"1968/09","3.573","0.018","0.5"
"1968/10","3.67","0.097","2.7"
"1968/11","3.757","0.087","2.4"
"1968/12","3.733","-0.024","-0.6"
"1969/01","3.83","0.097","2.6"
"1969/02","3.853","0.023","0.6"
"1969/03","3.883","0.03","0.8"
"1969/04","3.903","0.02","0.5"
"1969/05","3.928","0.025","0.6"
"1969/06","3.942","0.014","0.4"
"1969/07","3.942","0","0.0"
"1969/08","3.962","0.02","0.5"
"1969/09","4.09","0.128","3.2"
"1969/10","4.2","0.11","2.7"
"1969/11","4.247","0.047","1.1"
"1969/12","4.341","0.094","2.2"
"1970/01","4.4","0.059","1.4"
"1970/02","4.488","0.088","2.0"
"1970/03","4.586","0.098","2.2"
"1970/04","4.684","0.098","2.1"
"1970/05","4.637","-0.047","-1.0"
"1970/06","4.539","-0.098","-2.1"
"1970/07","4.571","0.032","0.7"
"1970/08","4.604","0.033","0.7"
"1970/09","4.716","0.112","2.4"
"1970/10","4.809","0.093","2.0"
"1970/11","4.8","-0.009","-0.2"
"1970/12","4.967","0.167","3.5"
"1971/01","5.098","0.131","2.6"
"1971/02","5.199","0.101","2.0"
"1971/03","5.297","0.098","1.9"
"1971/04","5.274","-0.023","-0.4"
"1971/05","5.18","-0.094","-1.8"
"1971/06","5.172","-0.008","-0.2"
"1971/07","5.264","0.092","1.8"
"1971/08","5.311","0.047","0.9"
"1971/09","5.4","0.089","1.7"
"1971/10","5.357","-0.043","-0.8"
"1971/11","5.366","0.009","0.2"
"1971/12","5.418","0.052","1.0"
"1972/01","5.501","0.083","1.5"
"1972/02","5.677","0.176","3.2"
"1972/03","5.836","0.159","2.8"
"1972/04","5.874","0.038","0.7"
"1972/05","5.898","0.024","0.4"
"1972/06","5.93","0.032","0.5"
"1972/07","5.993","0.063","1.1"
"1972/08","6.087","0.094","1.6"
"1972/09","6.092","0.005","0.1"
"1972/10","6.022","-0.07","-1.1"
"1972/11","5.911","-0.111","-1.8"
"1972/12","5.915","0.004","0.1"
"1973/01","5.934","0.019","0.3"
"1973/02","5.952","0.018","0.3"
"1973/03","5.961","0.009","0.2"
"1973/04","5.993","0.032","0.5"
"1973/05","6.028","0.035","0.6"
