변환,원자료,전기대비증감,전기대비증감률
"1964/05","255.77","",""
"1964/06","255.77","0.00","0.0"
"1964/07","255.77","0.00","0.0"
"1964/08","255.77","0.00","0.0"
"1964/09","255.77","0.00","0.0"
"1964/10","255.77","0.00","0.0"
"1964/11","255.77","0.00","0.0"
"1964/12","255.77","0.00","0.0"
"1965/01","255.77","0.00","0.0"
"1965/02","255.77","0.00","0.0"
"1965/03","258.32","2.55","1.0"
"1965/04","259.32","1.00","0.4"
"1965/05","266.41","7.09","2.7"
"1965/06","268.22","1.81","0.7"
"1965/07","271.56","3.34","1.2"
"1965/08","272.25","0.69","0.3"
"1965/09","272.10","-0.15","-0.1"
"1965/10","271.96","-0.14","-0.1"
"1965/11","271.78","-0.18","-0.1"
"1965/12","271.78","0.00","0.0"
"1966/01","271.78","0.00","0.0"
"1966/02","271.68","-0.10","0.0"
"1966/03","269.34","-2.34","-0.9"
"1966/04","271.37","2.03","0.8"
"1966/05","271.18","-0.19","-0.1"
"1966/06","271.18","0.00","0.0"
"1966/07","271.18","0.00","0.0"
"1966/08","271.18","0.00","0.0"
"1966/09","271.18","0.00","0.0"
"1966/10","271.18","0.00","0.0"
"1966/11","271.18","0.00","0.0"
"1966/12","271.18","0.00","0.0"
"1967/01","270.39","-0.79","-0.3"
"1967/02","269.86","-0.53","-0.2"
"1967/03","269.94","0.08","0.0"
"1967/04","270.08","0.14","0.1"
"1967/05","270.08","0.00","0.0"
"1967/06","270.05","-0.03","0.0"
"1967/07","270.16","0.11","0.0"
"1967/08","270.21","0.05","0.0"
"1967/09","270.39","0.18","0.1"
"1967/10","270.37","-0.02","0.0"
"1967/11","270.42","0.05","0.0"
"1967/12","274.19","3.77","1.4"
"1968/01","274.60","0.41","0.1"
"1968/02","274.60","0.00","0.0"
"1968/03","274.65","0.05","0.0"
"1968/04","274.76","0.11","0.0"
"1968/05","274.76","0.00","0.0"
"1968/06","274.76","0.00","0.0"
"1968/07","274.77","0.01","0.0"
"1968/08","275.36","0.59","0.2"
"1968/09","278.10","2.74","1.0"
"1968/10","280.28","2.18","0.8"
"1968/11","281.43","1.15","0.4"
"1968/12","281.65","0.22","0.1"
"1969/01","281.60","-0.05","0.0"
"1969/02","282.09","0.49","0.2"
"1969/03","282.85","0.76","0.3"
"1969/04","283.65","0.80","0.3"
"1969/05","284.52","0.87","0.3"
"1969/06","285.00","0.48","0.2"
"1969/07","285.41","0.41","0.1"
"1969/08","286.94","1.53","0.5"
"1969/09","288.26","1.32","0.5"
"1969/10","290.18","1.92","0.7"
"1969/11","303.87","13.69","4.7"
"1969/12","304.53","0.66","0.2"
"1970/01","304.85","0.32","0.1"
"1970/02","305.86","1.01","0.3"
"1970/03","306.63","0.77","0.3"
"1970/04","307.71","1.08","0.4"
"1970/05","308.76","1.05","0.3"
"1970/06","309.89","1.13","0.4"
"1970/07","311.47","1.58","0.5"
"1970/08","312.50","1.03","0.3"
"1970/09","313.39","0.89","0.3"
"1970/10","314.17","0.78","0.2"
"1970/11","315.17","1.00","0.3"
"1970/12","316.27","1.10","0.3"
"1971/01","317.73","1.46","0.5"
"1971/02","319.48","1.75","0.6"
"1971/03","321.35","1.87","0.6"
"1971/04","323.25","1.90","0.6"
