변환,원자료,전기대비증감,원자료,전기대비증감,원자료,전기대비증감,원자료,전기대비증감,원자료,전기대비증감,원자료,전기대비증감,원자료,전기대비증감,원자료,전기대비증감,원자료,전기대비증감
"2002/12","1.8","","2.0","","1.4","","1.5","","1.5","","1.5","","8.5","","8.6","","8.3",""
"2003/01","","","","","","","","","","","","","","","","","",""
"2003/02","","","","","","","","","","","","","","","","","",""
"2003/03","","","","","","","","","","","","","","","","","",""
"2003/04","","","","","","","","","","","","","","","","","",""
"2003/05","","","","","","","","","","","","","","","","","",""
"2003/06","","","","","","","","","","","","","","","","","",""
"2003/07","","","","","","","","","","","","","","","","","",""
"2003/08","","","","","","","","","","","","","","","","","",""
"2003/09","","","","","","","","","","","","","","","","","",""
"2003/10","","","","","","","","","","","","","","","","","",""
"2003/11","","","","","","","","","","","","","","","","","",""
"2003/12","1.9","","2.1","","1.5","","1.8","","1.8","","1.6","","7.8","","8.3","","6.1",""
"2004/01","","","","","","","","","","","","","","","","","",""
"2004/02","","","","","","","","","","","","","","","","","",""
"2004/03","","","","","","","","","","","","","","","","","",""
"2004/04","","","","","","","","","","","","","","","","","",""
"2004/05","","","","","","","","","","","","","","","","","",""
"2004/06","","","","","","","","","","","","","","","","","",""
"2004/07","","","","","","","","","","","","","","","","","",""
"2004/08","","","","","","","","","","","","","","","","","",""
"2004/09","","","","","","","","","","","","","","","","","",""
"2004/10","","","","","","","","","","","","","","","","","",""
"2004/11","","","","","","","","","","","","","","","","","",""
"2004/12","1.8","","2.1","","1.4","","1.7","","1.8","","1.3","","4.1","","4.1","","3.9",""
"2005/01","","","","","","","","","","","","","","","","","",""
"2005/02","","","","","","","","","","","","","","","","","",""
"2005/03","","","","","","","","","","","","","","","","","",""
"2005/04","","","","","","","","","","","","","","","","","",""
"2005/05","2.4","","2.7","","1.9","","1.9","","1.9","","1.7","","4.7","","5.0","","3.4",""
"2005/06","1.8","-0.6","2.0","-0.7","1.3","-0.6","1.5","-0.4","1.6","-0.3","1.2","-0.5","3.1","-1.6","3.1","-1.9","2.9","-0.5"
"2005/07","2.0","0.2","2.3","0.3","1.5","0.2","1.6","0.1","1.6","0.0","1.3","0.1","3.5","0.4","3.6","0.5","3.0","0.1"
"2005/08","2.1","0.1","2.3","0.0","1.7","0.2","1.6","0.0","1.7","0.1","1.4","0.1","3.7","0.2","3.8","0.2","3.1","0.1"
"2005/09","1.8","-0.3","1.9","-0.4","1.6","-0.1","1.4","-0.2","1.4","-0.3","1.2","-0.2","2.7","-1.0","2.7","-1.1","2.7","-0.4"
"2005/10","1.9","0.1","2.1","0.2","1.7","0.1","1.4","0.0","1.4","0.0","1.3","0.1","3.0","0.3","3.0","0.3","2.7","0.0"
"2005/11","1.8","-0.1","2.0","-0.1","1.4","-0.3","1.4","0.0","1.4","0.0","1.1","-0.2","3.0","0.0","3.1","0.1","2.6","-0.1"
"2005/12","1.3","-0.5","1.5","-0.5","1.0","-0.4","1.1","-0.3","1.2","-0.2","0.9","-0.2","2.2","-0.8","2.2","-0.9","2.0","-0.6"
"2006/01","1.7","0.4","1.8","0.3","1.4","0.4","1.3","0.2","1.4","0.2","1.1","0.2","2.5","0.3","2.6","0.4","2.2","0.2"
"2006/02","1.7","0.0","1.9","0.1","1.4","0.0","1.4","0.1","1.4","0.0","1.3","0.2","2.7","0.2","2.8","0.2","2.4","0.2"
"2006/03","1.5","-0.2","1.6","-0.3","1.3","-0.1","1.2","-0.2","1.2","-0.2","1.2","-0.1","2.1","-0.6","2.1","-0.7","2.1","-0.3"
