변환,원자료,전기대비증감,전기대비증감률
"2003/11","61.5","",""
"2003/12","61.0","-0.5","-0.8"
"2004/01","60.7","-0.3","-0.5"
"2004/02","60.7","0.0","0.0"
"2004/03","60.8","0.1","0.2"
"2004/04","60.9","0.1","0.2"
"2004/05","60.9","0.0","0.0"
"2004/06","60.8","-0.1","-0.2"
"2004/07","60.6","-0.2","-0.3"
"2004/08","60.3","-0.3","-0.5"
"2004/09","60.2","-0.1","-0.2"
"2004/10","60.0","-0.2","-0.3"
"2004/11","59.7","-0.3","-0.5"
"2004/12","59.5","-0.2","-0.3"
"2005/01","59.3","-0.2","-0.3"
"2005/02","59.5","0.2","0.3"
"2005/03","59.7","0.2","0.3"
"2005/04","60.0","0.3","0.5"
"2005/05","60.3","0.3","0.5"
"2005/06","60.8","0.5","0.8"
"2005/07","61.2","0.4","0.7"
"2005/08","61.5","0.3","0.5"
"2005/09","61.6","0.1","0.2"
"2005/10","61.6","0.0","0.0"
"2005/11","61.6","0.0","0.0"
"2005/12","61.7","0.1","0.2"
"2006/01","61.9","0.2","0.3"
"2006/02","62.1","0.2","0.3"
"2006/03","62.5","0.4","0.6"
"2006/04","63.1","0.6","1.0"
"2006/05","63.6","0.5","0.8"
"2006/06","64.0","0.4","0.6"
"2006/07","64.1","0.1","0.2"
"2006/08","64.3","0.2","0.3"
"2006/09","64.7","0.4","0.6"
"2006/10","65.6","0.9","1.4"
"2006/11","67.5","1.9","2.9"
"2006/12","68.8","1.3","1.9"
"2007/01","69.7","0.9","1.3"
"2007/02","70.1","0.4","0.6"
"2007/03","70.4","0.3","0.4"
"2007/04","70.6","0.2","0.3"
"2007/05","70.8","0.2","0.3"
"2007/06","71.0","0.2","0.3"
"2007/07","71.2","0.2","0.3"
"2007/08","71.5","0.3","0.4"
"2007/09","71.8","0.3","0.4"
"2007/10","72.2","0.4","0.6"
"2007/11","72.6","0.4","0.6"
"2007/12","72.8","0.2","0.3"
