변환,원자료,전기대비증감,전기대비증감률
"1986/01","43,133.6","",""
"1986/02","43,492.4","358.8","0.8"
"1986/03","44,587.1","1,094.7","2.5"
"1986/04","45,188.7","601.6","1.3"
"1986/05","46,197.5","1,008.8","2.2"
"1986/06","47,043.5","846.0","1.8"
"1986/07","47,960.7","917.2","1.9"
"1986/08","49,027.6","1,066.9","2.2"
"1986/09","50,743.6","1,716.0","3.5"
"1986/10","51,406.5","662.9","1.3"
"1986/11","52,342.2","935.7","1.8"
"1986/12","53,753.5","1,411.3","2.7"
"1987/01","54,519.6","766.1","1.4"
"1987/02","55,509.3","989.7","1.8"
"1987/03","57,398.0","1,888.7","3.4"
"1987/04","58,917.5","1,519.5","2.6"
"1987/05","60,628.4","1,710.9","2.9"
"1987/06","61,865.2","1,236.8","2.0"
"1987/07","62,808.5","943.3","1.5"
"1987/08","63,965.3","1,156.8","1.8"
"1987/09","66,092.2","2,126.9","3.3"
"1987/10","67,420.9","1,328.7","2.0"
"1987/11","68,045.2","624.3","0.9"
"1987/12","71,136.9","3,091.7","4.5"
"1988/01","73,489.6","2,352.7","3.3"
"1988/02","74,175.1","685.5","0.9"
"1988/03","76,071.9","1,896.8","2.6"
"1988/04","77,444.2","1,372.3","1.8"
"1988/05","78,183.3","739.1","1.0"
"1988/06","80,297.8","2,114.5","2.7"
"1988/07","81,603.6","1,305.8","1.6"
"1988/08","84,337.4","2,733.8","3.4"
"1988/09","86,817.5","2,480.1","2.9"
"1988/10","88,234.0","1,416.5","1.6"
"1988/11","89,852.7","1,618.7","1.8"
"1988/12","92,669.9","2,817.2","3.1"
"1989/01","94,284.8","1,614.9","1.7"
"1989/02","95,118.4","833.6","0.9"
"1989/03","97,305.7","2,187.3","2.3"
"1989/04","98,349.8","1,044.1","1.1"
"1989/05","99,437.9","1,088.1","1.1"
"1989/06","100,113.6","675.7","0.7"
"1989/07","101,644.9","1,531.3","1.5"
"1989/08","102,240.2","595.3","0.6"
"1989/09","106,334.8","4,094.6","4.0"
"1989/10","107,859.1","1,524.3","1.4"
"1989/11","109,237.0","1,377.9","1.3"
"1989/12","113,008.3","3,771.3","3.5"
"1990/01","118,596.0","5,587.7","4.9"
"1990/02","119,931.5","1,335.5","1.1"
"1990/03","123,086.4","3,154.9","2.6"
"1990/04","125,338.5","2,252.1","1.8"
"1990/05","127,286.2","1,947.7","1.6"
"1990/06","129,180.1","1,893.9","1.5"
"1990/07","130,497.6","1,317.5","1.0"
"1990/08","129,478.5","-1,019.1","-0.8"
"1990/09","136,810.7","7,332.2","5.7"
"1990/10","138,782.9","1,972.2","1.4"
"1990/11","141,226.0","2,443.1","1.8"
"1990/12","146,975.8","5,749.8","4.1"
"1991/01","148,618.1","1,642.3","1.1"
"1991/02","151,009.2","2,391.1","1.6"
"1991/03","153,518.8","2,509.6","1.7"
"1991/04","154,504.5","985.7","0.6"
"1991/05","156,693.9","2,189.4","1.4"
"1991/06","158,123.5","1,429.6","0.9"
"1991/07","161,152.3","3,028.8","1.9"
"1991/08","161,615.4","463.1","0.3"
"1991/09","166,662.2","5,046.8","3.1"
"1991/10","170,278.0","3,615.8","2.2"
"1991/11","172,453.0","2,175.0","1.3"
"1991/12","174,698.8","2,245.8","1.3"
"1992/01","178,532.2","3,833.4","2.2"
"1992/02","180,826.9","2,294.7","1.3"
"1992/03","183,523.9","2,697.0","1.5"
"1992/04","186,533.2","3,009.3","1.6"
"1992/05","189,145.8","2,612.6","1.4"
"1992/06","190,123.0","977.2","0.5"
"1992/07","193,756.1","3,633.1","1.9"
"1992/08","196,169.1","2,413.0","1.2"
"1992/09","198,859.4","2,690.3","1.4"
"1992/10","204,227.2","5,367.8","2.7"
"1992/11","208,974.1","4,746.9","2.3"
"1992/12","212,578.9","3,604.8","1.7"
"1993/01","217,736.1","5,157.2","2.4"
"1993/02","220,984.4","3,248.3","1.5"
"1993/03","224,510.0","3,525.6","1.6"
"1993/04","226,220.5","1,710.5","0.8"
"1993/05","229,583.1","3,362.6","1.5"
"1993/06","233,044.8","3,461.7","1.5"
"1993/07","236,505.7","3,460.9","1.5"
"1993/08","240,278.0","3,772.3","1.6"
"1993/09","244,481.3","4,203.3","1.7"
"1993/10","247,130.4","2,649.1","1.1"
"1993/11","249,747.2","2,616.8","1.1"
"1993/12","253,598.5","3,851.3","1.5"
"1994/01","255,917.9","2,319.4","0.9"
"1994/02","261,715.6","5,797.7","2.3"
