변환,원자료,전기대비증감,전기대비증감률
"1994/01","","",""
"1994/02","","",""
"1994/03","","",""
"1994/04","","",""
"1994/05","","",""
"1994/06","","",""
"1994/07","","",""
"1994/08","","",""
"1994/09","","",""
"1994/10","","",""
"1994/11","","",""
"1994/12","","",""
"1995/01","","",""
"1995/02","","",""
"1995/03","","",""
"1995/04","","",""
"1995/05","","",""
"1995/06","","",""
"1995/07","","",""
"1995/08","","",""
"1995/09","","",""
"1995/10","","",""
"1995/11","","",""
"1995/12","","",""
"1996/01","","",""
"1996/02","","",""
"1996/03","","",""
"1996/04","","",""
"1996/05","","",""
"1996/06","","",""
"1996/07","","",""
"1996/08","","",""
"1996/09","","",""
"1996/10","","",""
"1996/11","","",""
"1996/12","","",""
"1997/01","","",""
"1997/02","","",""
"1997/03","","",""
"1997/04","","",""
"1997/05","","",""
"1997/06","","",""
"1997/07","","",""
"1997/08","","",""
"1997/09","","",""
"1997/10","","",""
"1997/11","","",""
"1997/12","","",""
"1998/01","","",""
"1998/02","","",""
"1998/03","","",""
"1998/04","","",""
"1998/05","","",""
"1998/06","","",""
"1998/07","","",""
"1998/08","","",""
"1998/09","","",""
"1998/10","","",""
"1998/11","","",""
"1998/12","","",""
"1999/01","","",""
"1999/02","","",""
"1999/03","","",""
"1999/04","","",""
"1999/05","4.75","",""
"1999/06","4.75","0.00","0.0"
"1999/07","4.75","0.00","0.0"
"1999/08","4.75","0.00","0.0"
"1999/09","4.75","0.00","0.0"
"1999/10","4.75","0.00","0.0"
"1999/11","4.75","0.00","0.0"
"1999/12","4.75","0.00","0.0"
"2000/01","4.75","0.00","0.0"
"2000/02","5.00","0.25","5.3"
"2000/03","5.00","0.00","0.0"
"2000/04","5.00","0.00","0.0"
"2000/05","5.00","0.00","0.0"
"2000/06","5.00","0.00","0.0"
"2000/07","5.00","0.00","0.0"
"2000/08","5.00","0.00","0.0"
"2000/09","5.00","0.00","0.0"
"2000/10","5.25","0.25","5.0"
"2000/11","5.25","0.00","0.0"
"2000/12","5.25","0.00","0.0"
"2001/01","5.25","0.00","0.0"
"2001/02","5.00","-0.25","-4.8"
"2001/03","5.00","0.00","0.0"
"2001/04","5.00","0.00","0.0"
"2001/05","5.00","0.00","0.0"
"2001/06","5.00","0.00","0.0"
"2001/07","4.75","-0.25","-5.0"
"2001/08","4.50","-0.25","-5.3"
"2001/09","4.00","-0.50","-11.1"
"2001/10","4.00","0.00","0.0"
"2001/11","4.00","0.00","0.0"
"2001/12","4.00","0.00","0.0"
"2002/01","4.00","0.00","0.0"
"2002/02","4.00","0.00","0.0"
"2002/03","4.00","0.00","0.0"
"2002/04","4.00","0.00","0.0"
"2002/05","4.25","0.25","6.3"
"2002/06","4.25","0.00","0.0"
"2002/07","4.25","0.00","0.0"
"2002/08","4.25","0.00","0.0"
"2002/09","4.25","0.00","0.0"
"2002/10","4.25","0.00","0.0"
"2002/11","4.25","0.00","0.0"
"2002/12","4.25","0.00","0.0"
"2003/01","4.25","0.00","0.0"
"2003/02","4.25","0.00","0.0"
