,변환,경제성장률
53,1960/Q2,4.496
54,1960/Q3,-1.112
55,1960/Q4,0.596
56,1961/Q1,3.201
57,1961/Q2,4.316
58,1961/Q3,-1.825
59,1961/Q4,1.297
60,1962/Q1,1.992
61,1962/Q2,-1.868
62,1962/Q3,2.927
63,1962/Q4,2.88
64,1963/Q1,5.859
65,1963/Q2,-2.359
66,1963/Q3,3.295
67,1963/Q4,0.093
68,1964/Q1,5.971
69,1964/Q2,-2.875
70,1964/Q3,6.805
71,1964/Q4,4.02
72,1965/Q1,1.279
73,1965/Q2,0.226
74,1965/Q3,-0.791
75,1965/Q4,2.332
76,1966/Q1,6.129
77,1966/Q2,6.194
78,1966/Q3,-1.729
79,1966/Q4,1.331
80,1967/Q1,3.37
81,1967/Q2,2.088
82,1967/Q3,4.14
83,1967/Q4,0.66
84,1968/Q1,6.363
85,1968/Q2,1.472
86,1968/Q3,5.132
87,1968/Q4,-1.707
88,1969/Q1,5.111
89,1969/Q2,3.452
90,1969/Q3,8.061
91,1969/Q4,2.011
92,1970/Q1,-1.694
93,1970/Q2,4.021
94,1970/Q3,0.619
95,1970/Q4,7.704
96,1971/Q1,0.561
97,1971/Q2,3.257
98,1971/Q3,0.193
99,1971/Q4,0.751
100,1972/Q1,1.437
101,1972/Q2,2.956
102,1972/Q3,1.648
103,1972/Q4,4.251
104,1973/Q1,3.307
105,1973/Q2,4.202
106,1973/Q3,5.09
107,1973/Q4,1.447
108,1974/Q1,4.175
109,1974/Q2,-0.264
110,1974/Q3,1.561
111,1974/Q4,-0.341
112,1975/Q1,1.415
113,1975/Q2,4.708
114,1975/Q3,2.858
115,1975/Q4,3.086
116,1976/Q1,2.889
117,1976/Q2,4.807
118,1976/Q3,1.94
119,1976/Q4,1.125
120,1977/Q1,1.001
121,1977/Q2,5.073
122,1977/Q3,6.009
123,1977/Q4,3.768
124,1978/Q1,-0.809
125,1978/Q2,3.082
126,1978/Q3,1.859
127,1978/Q4,4.797
128,1979/Q1,4.486
129,1979/Q2,0.756
130,1979/Q3,-2.768
131,1979/Q4,-1.519
132,1980/Q1,0.886
133,1980/Q2,-0.54
134,1980/Q3,1.893
135,1980/Q4,-2.766
136,1981/Q1,4.115
137,1981/Q2,2.416
138,1981/Q3,4.163
139,1981/Q4,1.569
140,1982/Q1,0.679
141,1982/Q2,2.348
142,1982/Q3,2.074
143,1982/Q4,3.147
144,1983/Q1,4.43
145,1983/Q2,3.088
146,1983/Q3,3.714
147,1983/Q4,0.716
148,1984/Q1,4.381
149,1984/Q2,2.506
150,1984/Q3,1.363
151,1984/Q4,0.486
152,1985/Q1,2.811
153,1985/Q2,2.409
154,1985/Q3,1.138
155,1985/Q4,3.049
156,1986/Q1,1.925
157,1986/Q2,3.897
158,1986/Q3,4.317
159,1986/Q4,1.56
160,1987/Q1,3.212
161,1987/Q2,4.953
162,1987/Q3,0.976
163,1987/Q4,2.035
164,1988/Q1,7.703
165,1988/Q2,-2.161
166,1988/Q3,3.146
167,1988/Q4,3.255
168,1989/Q1,0.043
169,1989/Q2,1.461
170,1989/Q3,2.564
171,1989/Q4,4.13
172,1990/Q1,1.019
173,1990/Q2,2.231
174,1990/Q3,3.233
175,1990/Q4,2.033
176,1991/Q1,3.75
177,1991/Q2,1.661
178,1991/Q3,2.145
179,1991/Q4,2.504
180,1992/Q1,1.78
181,1992/Q2,0.702
182,1992/Q3,0.068
183,1992/Q4,1.561
184,1993/Q1,1.991
185,1993/Q2,2.565
186,1993/Q3,1.844
187,1993/Q4,1.914
188,1994/Q1,2.917
189,1994/Q2,1.632
190,1994/Q3,1.682
191,1994/Q4,3.93
192,1995/Q1,2.09
193,1995/Q2,2.022
194,1995/Q3,2.076
195,1995/Q4,1.871
196,1996/Q1,1.908
197,1996/Q2,2.02
198,1996/Q3,1.759
199,1996/Q4,1.692
200,1997/Q1,0.468
201,1997/Q2,3.551
202,1997/Q3,0.792
203,1997/Q4,-0.456
204,1998/Q1,-6.818
205,1998/Q2,-0.808
206,1998/Q3,1.747
207,1998/Q4,2.496
208,1999/Q1,3.035
209,1999/Q2,4.383
210,1999/Q3,2.781
211,1999/Q4,2.886
