,변환,전기대비증감률
1,1965/02,0.8
2,1965/03,-0.8
3,1965/04,0.0
4,1965/05,2.0
5,1965/06,2.0
6,1965/07,0.4
7,1965/08,0.0
8,1965/09,0.4
9,1965/10,-0.2
10,1965/11,-0.2
11,1965/12,0.6
12,1966/01,0.8
13,1966/02,1.5
14,1966/03,0.6
15,1966/04,1.7
16,1966/05,1.9
17,1966/06,1.5
18,1966/07,0.5
19,1966/08,0.5
20,1966/09,0.0
21,1966/10,0.0
22,1966/11,-0.7
23,1966/12,0.4
24,1967/01,-0.5
25,1967/02,0.7
26,1967/03,0.5
27,1967/04,2.1
28,1967/05,1.2
29,1967/06,0.3
30,1967/07,0.3
31,1967/08,0.7
32,1967/09,0.5
33,1967/10,0.2
34,1967/11,0.7
35,1967/12,0.2
36,1968/01,1.7
37,1968/02,1.5
38,1968/03,0.6
39,1968/04,0.5
40,1968/05,0.3
41,1968/06,0.3
42,1968/07,0.2
43,1968/08,0.2
44,1968/09,-0.2
45,1968/10,1.6
46,1968/11,1.3
47,1968/12,-0.8
48,1969/01,1.6
49,1969/02,1.1
50,1969/03,0.3
51,1969/04,0.5
52,1969/05,0.6
53,1969/06,0.4
54,1969/07,0.1
55,1969/08,0.0
56,1969/09,0.6
57,1969/10,0.6
58,1969/11,0.4
59,1969/12,1.0
60,1970/01,2.5
61,1970/02,0.8
62,1970/03,1.0
63,1970/04,1.2
64,1970/05,0.4
65,1970/06,0.0
66,1970/07,0.1
67,1970/08,0.3
68,1970/09,1.0
69,1970/10,0.0
70,1970/11,0.9
71,1970/12,0.7
72,1971/01,0.5
73,1971/02,0.5
74,1971/03,0.3
75,1971/04,0.5
76,1971/05,0.9
77,1971/06,1.7
78,1971/07,-0.4
79,1971/08,0.9
80,1971/09,3.5
81,1971/10,1.9
82,1971/11,1.0
83,1971/12,0.9
84,1972/01,0.8
85,1972/02,2.3
86,1972/03,1.9
87,1972/04,0.7
88,1972/05,0.9
89,1972/06,0.3
90,1972/07,0.3
91,1972/08,0.8
92,1972/09,-0.3
93,1972/10,-0.4
94,1972/11,0.1
95,1972/12,0.8
96,1973/01,0.5
97,1973/02,0.4
98,1973/03,0.3
99,1973/04,0.5
100,1973/05,0.7
101,1973/06,0.2
102,1973/07,0.8
103,1973/08,2.1
104,1973/09,1.6
105,1973/10,0.2
106,1973/11,1.2
107,1973/12,5.6
108,1974/01,4.9
109,1974/02,14.5
110,1974/03,3.0
111,1974/04,4.2
112,1974/05,0.7
113,1974/06,1.2
114,1974/07,1.1
115,1974/08,0.9
116,1974/09,-0.4
117,1974/10,0.4
118,1974/11,2.2
119,1974/12,5.6
120,1975/01,6.0
121,1975/02,1.2
122,1975/03,0.5
123,1975/04,2.7
124,1975/05,2.3
125,1975/06,1.0
126,1975/07,0.3
127,1975/08,0.4
