,변환,소비자물가지수(CPI)_변동률
1,1965/02,2.2
2,1965/03,0.2
3,1965/04,1.6
4,1965/05,2.0
5,1965/06,-0.9
6,1965/07,1.3
7,1965/08,1.1
8,1965/09,-0.5
9,1965/10,-0.6
10,1965/11,-1.7
11,1965/12,0.3
12,1966/01,2.4
13,1966/02,2.8
14,1966/03,1.6
15,1966/04,1.0
16,1966/05,2.8
17,1966/06,0.1
18,1966/07,-0.4
19,1966/08,2.1
20,1966/09,1.9
21,1966/10,2.6
22,1966/11,-2.5
23,1966/12,0.1
24,1967/01,0.6
25,1967/02,1.4
26,1967/03,1.4
27,1967/04,2.7
28,1967/05,1.0
29,1967/06,-1.1
30,1967/07,0.2
31,1967/08,1.2
32,1967/09,1.6
33,1967/10,1.6
34,1967/11,0.6
35,1967/12,-0.1
36,1968/01,2.0
37,1968/02,1.5
38,1968/03,1.0
39,1968/04,-0.1
40,1968/05,0.2
41,1968/06,0.4
42,1968/07,-0.1
43,1968/08,0.6
44,1968/09,0.5
45,1968/10,2.7
46,1968/11,2.4
47,1968/12,-0.6
48,1969/01,2.6
49,1969/02,0.6
50,1969/03,0.8
51,1969/04,0.5
52,1969/05,0.6
53,1969/06,0.4
54,1969/07,0.0
55,1969/08,0.5
56,1969/09,3.2
57,1969/10,2.7
58,1969/11,1.1
59,1969/12,2.2
60,1970/01,1.4
61,1970/02,2.0
62,1970/03,2.2
63,1970/04,2.1
64,1970/05,-1.0
65,1970/06,-2.1
66,1970/07,0.7
67,1970/08,0.7
68,1970/09,2.4
69,1970/10,2.0
70,1970/11,-0.2
71,1970/12,3.5
72,1971/01,2.6
73,1971/02,2.0
74,1971/03,1.9
75,1971/04,-0.4
76,1971/05,-1.8
77,1971/06,-0.2
78,1971/07,1.8
79,1971/08,0.9
80,1971/09,1.7
81,1971/10,-0.8
82,1971/11,0.2
83,1971/12,1.0
84,1972/01,1.5
85,1972/02,3.2
86,1972/03,2.8
87,1972/04,0.7
88,1972/05,0.4
89,1972/06,0.5
90,1972/07,1.1
91,1972/08,1.6
92,1972/09,0.1
93,1972/10,-1.1
94,1972/11,-1.8
95,1972/12,0.1
96,1973/01,0.3
97,1973/02,0.3
98,1973/03,0.2
99,1973/04,0.5
100,1973/05,0.6
101,1973/06,-0.2
102,1973/07,0.5
103,1973/08,1.0
104,1973/09,0.8
105,1973/10,0.1
106,1973/11,1.2
107,1973/12,2.8
108,1974/01,4.3
109,1974/02,5.3
110,1974/03,3.8
111,1974/04,1.9
112,1974/05,0.5
113,1974/06,-0.7
114,1974/07,2.2
115,1974/08,3.1
116,1974/09,1.7
117,1974/10,-0.9
118,1974/11,1.3
119,1974/12,1.6
120,1975/01,3.5
121,1975/02,1.8
122,1975/03,1.9
123,1975/04,3.2
124,1975/05,3.6
125,1975/06,1.3
126,1975/07,1.8
127,1975/08,2.2
128,1975/09,3.5
129,1975/10,1.4
130,1975/11,-0.7
131,1975/12,0.5
132,1976/01,0.6
133,1976/02,1.1
134,1976/03,1.7
135,1976/04,1.1
136,1976/05,0.6
137,1976/06,1.0
138,1976/07,1.9
139,1976/08,1.0
140,1976/09,0.8
141,1976/10,-1.1
142,1976/11,-0.1
143,1976/12,0.6
144,1977/01,0.7
145,1977/02,2.4
146,1977/03,1.4
147,1977/04,0.1
148,1977/05,1.0
149,1977/06,1.0
150,1977/07,1.3
151,1977/08,1.3
152,1977/09,0.3
153,1977/10,-0.3
154,1977/11,0.4
155,1977/12,0.9
156,1978/01,2.9
157,1978/02,2.1
158,1978/03,1.3
159,1978/04,-0.1
160,1978/05,1.0
161,1978/06,2.8
