,변환,기업대출,가계대출,신용카드대출
0,2002/12,1.8,1.5,8.5
12,2003/12,1.9,1.8,7.8
24,2004/12,1.8,1.7,4.1
29,2005/05,2.4,1.9,4.7
30,2005/06,1.8,1.5,3.1
31,2005/07,2.0,1.6,3.5
32,2005/08,2.1,1.6,3.7
33,2005/09,1.8,1.4,2.7
34,2005/10,1.9,1.4,3.0
35,2005/11,1.8,1.4,3.0
36,2005/12,1.3,1.1,2.2
37,2006/01,1.7,1.3,2.5
38,2006/02,1.7,1.4,2.7
39,2006/03,1.5,1.2,2.1
40,2006/04,1.6,1.2,2.3
41,2006/05,1.7,1.3,2.5
42,2006/06,1.2,1.0,1.9
43,2006/07,1.5,1.0,2.2
44,2006/08,1.5,1.2,2.5
45,2006/09,1.3,0.9,1.9
46,2006/10,1.5,1.1,2.4
47,2006/11,1.4,0.9,2.5
48,2006/12,1.0,0.7,0.1
49,2007/01,1.2,0.8,1.9
50,2007/02,1.3,0.9,2.1
51,2007/03,1.2,0.8,1.7
52,2007/04,1.3,0.8,1.8
53,2007/05,1.2,0.9,1.8
54,2007/06,0.9,0.6,1.4
55,2007/07,1.1,0.7,1.6
56,2007/08,1.2,0.8,1.8
57,2007/09,1.1,0.7,0.1
58,2007/10,1.2,0.7,1.6
59,2007/11,1.1,0.7,1.7
60,2007/12,0.9,0.6,1.3
61,2008/01,1.1,0.7,1.6
62,2008/02,1.2,0.8,1.9
63,2008/03,1.2,0.6,1.4
64,2008/04,1.3,0.7,1.5
65,2008/05,1.3,0.7,1.8
66,2008/06,1.0,0.5,1.4
67,2008/07,1.2,0.6,1.6
68,2008/08,1.3,0.7,1.9
69,2008/09,1.3,0.6,1.6
70,2008/10,1.5,0.7,1.8
71,2008/11,1.7,0.7,2.1
72,2008/12,1.5,0.6,1.8
73,2009/01,2.0,0.8,2.4
74,2009/02,2.3,0.9,2.8
75,2009/03,2.0,0.7,2.2
76,2009/04,2.3,0.8,2.4
77,2009/05,2.3,0.8,2.7
78,2009/06,1.7,0.6,2.1
79,2009/07,1.9,0.6,2.3
80,2009/08,1.9,0.7,2.4
81,2009/09,1.6,0.6,1.8
82,2009/10,1.7,0.6,2.0
83,2009/11,1.6,0.6,1.9
84,2009/12,1.0,0.5,1.4
85,2010/01,1.4,0.6,1.7
86,2010/02,1.6,0.6,1.8
87,2010/03,1.5,0.5,1.4
88,2010/04,1.5,0.6,1.6
89,2010/05,1.7,0.6,1.8
90,2010/06,1.3,0.6,1.5
91,2010/07,1.7,0.7,1.7
92,2010/08,2.1,0.8,1.8
93,2010/09,1.7,0.7,1.5
94,2010/10,1.7,0.7,1.7
95,2010/11,1.7,0.7,1.7
96,2010/12,1.1,0.6,1.3
97,2011/01,1.3,0.7,1.6
98,2011/02,1.5,0.7,1.9
99,2011/03,1.4,0.6,1.6
100,2011/04,1.6,0.7,1.7
101,2011/05,1.7,0.8,1.9
102,2011/06,1.2,0.7,0.1
103,2011/07,1.4,0.8,2.0
104,2011/08,1.6,0.8,2.1
105,2011/09,1.3,0.7,1.8
106,2011/10,1.7,0.8,2.1
107,2011/11,2.0,0.8,2.3
108,2011/12,1.1,0.7,1.9
109,2012/01,1.3,0.8,2.2
110,2012/02,1.4,0.8,2.6
111,2012/03,1.3,0.8,2.1
112,2012/04,1.5,0.9,2.3
113,2012/05,1.7,1.0,2.4
114,2012/06,1.3,0.8,2.1
115,2012/07,1.7,0.9,2.2
116,2012/08,2.0,1.0,2.5
117,2012/09,1.4,0.9,2.1
118,2012/10,1.6,1.0,2.3
119,2012/11,1.6,1.0,2.4
120,2012/12,1.2,0.8,1.9
121,2013/01,1.3,1.0,2.2
122,2013/02,1.4,1.0,2.6
123,2013/03,1.3,1.0,2.2
124,2013/04,1.5,1.0,2.4
125,2013/05,1.5,1.0,2.5
126,2013/06,1.1,0.9,2.1
127,2013/07,1.2,0.9,2.1
128,2013/08,1.2,1.0,2.4
129,2013/09,1.1,0.9,1.9
130,2013/10,1.2,0.9,2.1
131,2013/11,1.3,0.9,2.3
132,2013/12,1.1,0.7,1.8
133,2014/01,1.2,0.7,2.1
134,2014/02,1.3,0.8,2.4
135,2014/03,1.1,0.7,2.0
136,2014/04,1.2,0.7,2.1
137,2014/05,1.3,0.7,2.3
138,2014/06,1.0,0.6,2.0
139,2014/07,1.2,0.7,2.1
140,2014/08,1.4,0.7,2.4
141,2014/09,1.2,0.6,1.9
142,2014/10,1.2,0.6,2.0
143,2014/11,1.2,0.6,2.3
144,2014/12,0.9,0.5,1.6
145,2015/01,1.0,0.5,1.9
146,2015/02,1.0,0.6,2.1
147,2015/03,1.0,0.5,1.8
148,2015/04,1.1,0.5,1.9
149,2015/05,1.2,0.5,2.1
150,2015/06,0.9,0.4,1.7
151,2015/07,1.0,0.5,1.9
152,2015/08,1.1,0.5,2.0
153,2015/09,1.0,0.4,1.6
154,2015/10,1.1,0.4,1.8
155,2015/11,1.1,0.4,1.8
156,2015/12,0.9,0.4,1.5
157,2016/01,1.0,0.4,1.7
158,2016/02,1.1,0.4,1.8
159,2016/03,1.0,0.4,1.8
160,2016/04,1.0,0.4,1.9
161,2016/05,1.2,0.4,2.0
162,2016/06,1.1,0.3,1.7
163,2016/07,1.3,0.3,1.8
164,2016/08,1.4,0.4,1.8
165,2016/09,1.3,0.3,1.7
166,2016/10,1.3,0.3,1.8
167,2016/11,1.0,0.3,1.9
168,2016/12,0.8,0.3,1.6
169,2017/01,0.8,0.3,1.8
170,2017/02,0.9,0.3,2.1
171,2017/03,0.8,0.3,1.7
172,2017/04,0.9,0.3,1.9
173,2017/05,0.9,0.3,1.9
174,2017/06,0.7,0.3,1.7
175,2017/07,0.7,0.3,1.8
176,2017/08,0.8,0.3,1.9
177,2017/09,0.7,0.3,1.7
178,2017/10,0.7,0.3,1.8
179,2017/11,0.7,0.3,1.9
180,2017/12,0.6,0.2,1.6
181,2018/01,0.7,0.3,1.8
182,2018/02,0.7,0.3,2.0
183,2018/03,0.9,0.3,1.8
184,2018/04,0.9,0.3,1.8
185,2018/05,1.0,0.3,1.9
186,2018/06,0.8,0.3,1.7
187,2018/07,0.9,0.3,1.8
188,2018/08,0.9,0.3,2.0
189,2018/09,0.9,0.3,1.8
190,2018/10,0.9,0.3,1.9
191,2018/11,0.9,0.3,1.9
192,2018/12,0.6,0.3,1.6
193,2019/01,0.7,0.3,1.7
194,2019/02,0.7,0.3,2.0
195,2019/03,0.7,0.3,1.8
196,2019/04,0.7,0.3,1.8
197,2019/05,0.7,0.3,1.9
198,2019/06,0.6,0.3,1.7
199,2019/07,0.7,0.3,1.8
200,2019/08,0.7,0.3,2.0
201,2019/09,0.6,0.3,1.7
202,2019/10,0.7,0.3,1.8
203,2019/11,0.7,0.3,1.9
204,2019/12,0.5,0.3,1.4
205,2020/01,0.6,0.3,1.5
206,2020/02,0.6,0.3,1.8
207,2020/03,0.6,0.3,1.6
208,2020/04,0.6,0.3,1.7
209,2020/05,0.6,0.3,1.8
210,2020/06,0.5,0.3,1.6
211,2020/07,0.5,0.3,1.6
212,2020/08,0.5,0.3,1.7
213,2020/09,0.4,0.2,1.4
214,2020/10,0.5,0.3,1.5
215,2020/11,0.5,0.3,1.5
216,2020/12,0.4,0.2,1.3
217,2021/01,0.4,0.2,1.5
218,2021/02,0.5,0.2,1.5
219,2021/03,0.4,0.2,1.3
220,2021/04,0.4,0.2,1.3
221,2021/05,0.5,0.2,1.4
222,2021/06,0.4,0.2,1.1
223,2021/07,0.4,0.2,1.2
224,2021/08,0.4,0.2,1.3
225,2021/09,0.3,0.2,1.1
226,2021/10,0.3,0.2,1.3
227,2021/11,0.4,0.2,1.3
228,2021/12,0.3,0.2,1.1
229,2022/01,0.3,0.2,1.2
230,2022/02,0.3,0.2,1.3
231,2022/03,0.3,0.2,1.2
232,2022/04,0.3,0.2,1.2
233,2022/05,0.3,0.2,1.2
234,2022/06,0.3,0.2,1.1
235,2022/07,0.3,0.2,1.2
236,2022/08,0.3,0.2,1.2
237,2022/09,0.3,0.2,1.1
238,2022/10,0.3,0.2,1.2
239,2022/11,0.3,0.3,1.3
240,2022/12,0.3,0.3,1.3
241,2023/01,0.4,0.3,1.4
242,2023/02,0.4,0.3,1.7
243,2023/03,0.4,0.3,1.5
244,2023/04,0.5,0.4,1.7
245,2023/05,0.5,0.4,1.7
246,2023/06,0.4,0.3,1.5
247,2023/07,0.5,0.4,1.6
248,2023/08,0.6,0.4,1.8
249,2023/09,0.5,0.4,1.6
250,2023/10,0.6,0.4,1.7
251,2023/11,0.6,0.4,1.8
252,2023/12,0.6,0.4,1.6
253,2024/01,0.6,0.4,1.7
254,2024/02,0.7,0.4,2.0
255,2024/03,0.6,0.4,1.8
256,2024/04,0.6,0.4,1.8
