,변환,통화량_변동율
1,1986/02,0.8
2,1986/03,2.5
3,1986/04,1.3
4,1986/05,2.2
5,1986/06,1.8
6,1986/07,1.9
7,1986/08,2.2
8,1986/09,3.5
9,1986/10,1.3
10,1986/11,1.8
11,1986/12,2.7
12,1987/01,1.4
13,1987/02,1.8
14,1987/03,3.4
15,1987/04,2.6
16,1987/05,2.9
17,1987/06,2.0
18,1987/07,1.5
19,1987/08,1.8
20,1987/09,3.3
21,1987/10,2.0
22,1987/11,0.9
23,1987/12,4.5
24,1988/01,3.3
25,1988/02,0.9
26,1988/03,2.6
27,1988/04,1.8
28,1988/05,1.0
29,1988/06,2.7
30,1988/07,1.6
31,1988/08,3.4
32,1988/09,2.9
33,1988/10,1.6
34,1988/11,1.8
35,1988/12,3.1
36,1989/01,1.7
37,1989/02,0.9
38,1989/03,2.3
39,1989/04,1.1
40,1989/05,1.1
41,1989/06,0.7
42,1989/07,1.5
43,1989/08,0.6
44,1989/09,4.0
45,1989/10,1.4
46,1989/11,1.3
47,1989/12,3.5
48,1990/01,4.9
49,1990/02,1.1
50,1990/03,2.6
51,1990/04,1.8
52,1990/05,1.6
53,1990/06,1.5
54,1990/07,1.0
55,1990/08,-0.8
56,1990/09,5.7
57,1990/10,1.4
58,1990/11,1.8
59,1990/12,4.1
60,1991/01,1.1
61,1991/02,1.6
62,1991/03,1.7
63,1991/04,0.6
64,1991/05,1.4
65,1991/06,0.9
66,1991/07,1.9
67,1991/08,0.3
68,1991/09,3.1
69,1991/10,2.2
70,1991/11,1.3
71,1991/12,1.3
72,1992/01,2.2
73,1992/02,1.3
74,1992/03,1.5
75,1992/04,1.6
76,1992/05,1.4
77,1992/06,0.5
78,1992/07,1.9
79,1992/08,1.2
80,1992/09,1.4
81,1992/10,2.7
82,1992/11,2.3
83,1992/12,1.7
84,1993/01,2.4
85,1993/02,1.5
86,1993/03,1.6
87,1993/04,0.8
88,1993/05,1.5
89,1993/06,1.5
90,1993/07,1.5
91,1993/08,1.6
92,1993/09,1.7
93,1993/10,1.1
94,1993/11,1.1
95,1993/12,1.5
96,1994/01,0.9
97,1994/02,2.3
98,1994/03,2.0
99,1994/04,2.3
100,1994/05,1.1
101,1994/06,1.3
102,1994/07,2.2
103,1994/08,1.3
104,1994/09,1.8
105,1994/10,0.6
106,1994/11,2.0
107,1994/12,1.5
108,1995/01,1.5
109,1995/02,0.2
110,1995/03,1.4
111,1995/04,2.3
112,1995/05,1.3
113,1995/06,1.3
114,1995/07,2.0
115,1995/08,1.5
116,1995/09,2.1
117,1995/10,1.5
118,1995/11,2.1
119,1995/12,2.6
120,1996/01,0.8
121,1996/02,1.2
122,1996/03,1.4
123,1996/04,2.1
124,1996/05,1.2
125,1996/06,1.1
126,1996/07,1.8
127,1996/08,1.1
128,1996/09,2.0
129,1996/10,0.6
130,1996/11,1.6
131,1996/12,1.3
132,1997/01,1.2
133,1997/02,1.5
134,1997/03,1.3
135,1997/04,0.9
136,1997/05,1.3
137,1997/06,1.2
138,1997/07,2.1
139,1997/08,1.4
140,1997/09,2.3
141,1997/10,1.0
142,1997/11,1.9
143,1997/12,2.4
144,1998/01,2.3
145,1998/02,2.5
146,1998/03,1.5
147,1998/04,1.4
148,1998/05,0.8
149,1998/06,2.2
150,1998/07,2.1
151,1998/08,2.3
152,1998/09,1.6
153,1998/10,1.4
154,1998/11,1.5
155,1998/12,0.9
156,1999/01,1.2
157,1999/02,2.0
158,1999/03,0.1
159,1999/04,1.1
160,1999/05,0.3
161,1999/06,0.5
162,1999/07,0.2
163,1999/08,-0.3
164,1999/09,-0.8
165,1999/10,0.4
166,1999/11,0.5
167,1999/12,-0.1
168,2000/01,-0.8
169,2000/02,0.2
170,2000/03,0.9
171,2000/04,0.6
172,2000/05,-0.3
173,2000/06,0.0
174,2000/07,0.2
175,2000/08,0.9
176,2000/09,1.1
177,2000/10,-0.8
178,2000/11,1.0
179,2000/12,0.6
180,2001/01,0.5
181,2001/02,0.7
182,2001/03,0.2
183,2001/04,0.1
184,2001/05,0.6
185,2001/06,1.0
186,2001/07,1.7
187,2001/08,1.1
188,2001/09,1.4
189,2001/10,0.4
190,2001/11,0.3
191,2001/12,0.0
192,2002/01,0.7
193,2002/02,0.9
194,2002/03,2.3
195,2002/04,1.2
196,2002/05,0.7
197,2002/06,1.1
198,2002/07,0.7
199,2002/08,0.4
200,2002/09,1.3
201,2002/10,1.3
202,2002/11,1.8
203,2002/12,0.8
204,2003/01,0.6
205,2003/02,0.4
206,2003/03,1.0
207,2003/04,-0.2
208,2003/05,-0.4
209,2003/06,0.0
210,2003/07,-0.1
211,2003/08,0.1
212,2003/09,0.5
213,2003/10,-0.7
214,2003/11,1.3
215,2003/12,0.6
216,2004/01,-0.1
217,2004/02,0.6
218,2004/03,1.1
219,2004/04,0.2
220,2004/05,0.3
221,2004/06,0.6
222,2004/07,0.5
223,2004/08,0.5
224,2004/09,1.1
225,2004/10,0.1
226,2004/11,0.2
227,2004/12,0.6
228,2005/01,0.4
229,2005/02,0.7
230,2005/03,1.3
231,2005/04,0.5
232,2005/05,0.3
233,2005/06,1.1
234,2005/07,0.9
235,2005/08,0.4
236,2005/09,-0.1
237,2005/10,0.0
238,2005/11,0.3
239,2005/12,1.0
240,2006/01,0.6
241,2006/02,0.7
242,2006/03,0.7
243,2006/04,0.6
244,2006/05,0.7
245,2006/06,1.6
246,2006/07,0.9
247,2006/08,0.2
248,2006/09,1.3
249,2006/10,1.1
250,2006/11,1.2
251,2006/12,1.3
252,2007/01,0.5
253,2007/02,0.9
254,2007/03,0.7
255,2007/04,0.2
256,2007/05,0.5
257,2007/06,1.6
258,2007/07,0.9
259,2007/08,0.6
