변환,생산자물가지수(PPI)_증감률률,환율_변동율,가계대출,신용카드대출,통화량_변동율,기준금리,기준금리
2003-12-01,0.7,0.7,1.8,7.8,0.6,3.75,3.75
2004-12-01,-0.7,-3.7,1.7,4.1,0.6,3.25,3.25
2005-05-01,-0.6,-0.9,1.9,4.7,0.3,3.25,3.25
2005-06-01,-0.5,0.9,1.5,3.1,1.1,3.25,3.25
2005-07-01,0.6,2.6,1.6,3.5,0.9,3.25,3.25
2005-08-01,0.3,-1.6,1.6,3.7,0.4,3.25,3.25
2005-09-01,0.4,0.8,1.4,2.7,-0.1,3.25,3.25
2005-10-01,0.3,1.6,1.4,3.0,0.0,3.5,3.5
2005-11-01,-0.3,-0.5,1.4,3.0,0.3,3.5,3.5
2005-12-01,-0.3,-1.7,1.1,2.2,1.0,3.75,3.75
2006-01-01,0.3,-3.6,1.3,2.5,0.6,3.75,3.75
2006-02-01,0.0,-1.7,1.4,2.7,0.7,4.0,4.0
2006-03-01,-0.1,0.5,1.2,2.1,0.7,4.0,4.0
2006-04-01,0.2,-2.1,1.2,2.3,0.6,4.0,4.0
2006-05-01,0.3,-1.4,1.3,2.5,0.7,4.0,4.0
2006-06-01,-0.2,1.5,1.0,1.9,1.6,4.25,4.25
2006-07-01,0.3,-0.5,1.0,2.2,0.9,4.25,4.25
2006-08-01,0.7,1.1,1.2,2.5,0.2,4.5,4.5
2006-09-01,0.3,-0.7,0.9,1.9,1.3,4.5,4.5
2006-10-01,-0.9,0.1,1.1,2.4,1.1,4.5,4.5
2006-11-01,-0.5,-1.9,0.9,2.5,1.2,4.5,4.5
2006-12-01,-0.1,-1.1,0.7,0.1,1.3,4.5,4.5
2007-01-01,0.0,1.1,0.8,1.9,0.5,4.5,4.5
2007-02-01,0.1,0.1,0.9,2.1,0.9,4.5,4.5
2007-03-01,0.4,0.7,0.8,1.7,0.7,4.5,4.5
2007-04-01,0.7,-1.2,0.8,1.8,0.2,4.5,4.5
2007-05-01,0.6,-0.4,0.9,1.8,0.5,4.5,4.5
2007-06-01,0.2,0.0,0.6,1.4,1.6,4.5,4.5
2007-07-01,0.1,-1.0,0.7,1.6,0.9,4.75,4.75
2007-08-01,-0.1,1.6,0.8,1.8,0.6,5.0,5.0
2007-09-01,0.5,-0.1,0.7,0.1,0.9,5.0,5.0
2007-10-01,0.2,-1.8,0.7,1.6,0.9,5.0,5.0
2007-11-01,0.4,0.1,0.7,1.7,1.7,5.0,5.0
2007-12-01,0.4,1.4,0.6,1.3,1.5,5.0,5.0
2008-01-01,0.6,1.3,0.7,1.6,1.3,5.0,5.0
2008-02-01,0.9,0.2,0.8,1.9,1.8,5.0,5.0
2008-03-01,1.3,3.7,0.6,1.4,1.1,5.0,5.0
2008-04-01,2.1,0.7,0.7,1.5,1.2,5.0,5.0
2008-05-01,2.0,5.1,0.7,1.8,1.3,5.0,5.0
2008-06-01,1.6,-0.7,0.5,1.4,1.0,5.0,5.0
2008-07-01,2.0,-1.0,0.6,1.6,0.7,5.0,5.0
2008-08-01,-0.3,2.2,0.7,1.9,0.5,5.25,5.25
2008-09-01,-0.4,8.5,0.6,1.6,0.7,5.25,5.25
2008-10-01,-0.3,17.4,0.7,1.8,0.6,4.25,4.25
2008-11-01,-2.3,4.8,0.7,2.1,1.6,4.0,4.0
2008-12-01,-1.7,-1.2,0.6,1.8,0.7,3.0,3.0
2009-01-01,-0.3,-2.0,0.8,2.4,0.3,2.5,2.5
2009-02-01,0.7,6.2,0.9,2.8,1.2,2.0,2.0
2009-03-01,0.5,2.3,0.7,2.2,0.9,2.0,2.0
2009-04-01,0.1,-8.2,0.8,2.4,0.8,2.0,2.0
2009-05-01,-0.8,-6.2,0.8,2.7,0.6,2.0,2.0
2009-06-01,-0.3,0.2,0.6,2.1,0.7,2.0,2.0
2009-07-01,1.1,0.2,0.6,2.3,0.7,2.0,2.0
2009-08-01,0.6,-2.0,0.7,2.4,0.8,2.0,2.0
2009-09-01,0.1,-1.6,0.6,1.8,0.7,2.0,2.0
2009-10-01,-0.8,-3.6,0.6,2.0,1.0,2.0,2.0
2009-11-01,0.3,-0.9,0.6,1.9,0.8,2.0,2.0
2009-12-01,0.5,0.2,0.5,1.4,0.4,2.0,2.0
2010-01-01,0.4,-2.4,0.6,1.7,0.3,2.0,2.0
2010-02-01,0.2,1.6,0.6,1.8,1.3,2.0,2.0
2010-03-01,0.5,-1.7,0.5,1.4,0.8,2.0,2.0
2010-04-01,0.7,-1.8,0.6,1.6,0.8,2.0,2.0
2010-05-01,0.8,4.1,0.6,1.8,0.6,2.0,2.0
2010-06-01,0.1,4.2,0.6,1.5,1.0,2.0,2.0
2010-07-01,0.2,-0.4,0.7,1.7,0.3,2.25,2.25
2010-08-01,0.3,-2.3,0.8,1.8,0.1,2.25,2.25
2010-09-01,0.6,-1.1,0.7,1.5,0.3,2.25,2.25
2010-10-01,0.4,-3.7,0.7,1.7,0.6,2.25,2.25
2010-11-01,0.3,0.2,0.7,1.7,0.6,2.5,2.5
2010-12-01,0.9,1.9,0.6,1.3,0.2,2.5,2.5
2011-01-01,1.5,-2.4,0.7,1.6,-0.4,2.75,2.75
2011-02-01,0.7,-0.2,0.7,1.9,-0.1,2.75,2.75
2011-03-01,1.2,0.4,0.6,1.6,0.2,3.0,3.0
2011-04-01,0.6,-3.2,0.7,1.7,0.4,3.0,3.0
2011-05-01,0.3,-0.3,0.8,1.9,0.3,3.0,3.0
2011-06-01,-0.2,-0.2,0.7,0.1,0.4,3.25,3.25
2011-07-01,0.1,-2.0,0.8,2.0,0.5,3.25,3.25
2011-08-01,0.1,1.3,0.8,2.1,0.8,3.25,3.25
2011-09-01,0.1,4.2,0.7,1.8,0.6,3.25,3.25
2011-10-01,-0.1,3.3,0.8,2.1,0.8,3.25,3.25
2011-11-01,-0.3,-2.0,0.8,2.3,0.6,3.25,3.25
2011-12-01,0.1,1.3,0.7,1.9,0.2,3.25,3.25
2012-01-01,0.5,-0.1,0.8,2.2,0.0,3.25,3.25
2012-02-01,0.7,-2.0,0.8,2.6,0.3,3.25,3.25
2012-03-01,0.5,0.2,0.8,2.1,0.6,3.25,3.25
2012-04-01,0.0,0.9,0.9,2.3,0.2,3.25,3.25
2012-05-01,-0.6,1.6,1.0,2.4,0.4,3.25,3.25
2012-06-01,-1.2,1.0,0.8,2.1,0.7,3.25,3.25
2012-07-01,-0.4,-1.9,0.9,2.2,0.6,3.0,3.0
2012-08-01,0.6,-1.0,1.0,2.5,0.5,3.0,3.0
2012-09-01,0.3,-0.6,0.9,2.1,0.1,3.0,3.0
2012-10-01,-0.8,-1.6,1.0,2.3,0.2,2.75,2.75
2012-11-01,-0.7,-1.8,1.0,2.4,0.4,2.75,2.75
