변환,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률
"1990/01","","","22.60","","17.50","","20.99",""
"1990/02","","","22.20","-1.8","16.68","-4.7","19.70","-6.1"
"1990/03","","","20.44","-7.9","15.76","-5.5","18.47","-6.2"
"1990/04","","","18.53","-9.3","14.25","-9.6","16.93","-8.3"
"1990/05","","","18.44","-0.5","14.65","2.8","16.67","-1.5"
"1990/06","","","16.70","-9.4","13.28","-9.4","15.55","-6.7"
"1990/07","","","18.64","11.6","15.31","15.3","17.47","12.3"
"1990/08","","","27.15","45.7","25.09","63.9","26.95","54.3"
"1990/09","","","33.56","23.6","30.35","21.0","34.66","28.6"
"1990/10","","","36.34","8.3","31.41","3.5","36.27","4.6"
"1990/11","","","32.40","-10.8","28.08","-10.6","32.96","-9.1"
"1990/12","","","27.12","-16.3","23.26","-17.2","27.87","-15.4"
"1991/01","","","24.96","-8.0","19.63","-15.6","23.98","-14.0"
"1991/02","","","20.67","-17.2","14.52","-26.0","19.29","-19.6"
"1991/03","","","19.87","-3.9","15.01","3.4","19.56","1.4"
"1991/04","","","20.82","4.8","15.37","2.4","19.34","-1.1"
"1991/05","","","21.27","2.2","15.94","3.7","19.22","-0.6"
"1991/06","","","20.19","-5.1","15.41","-3.3","18.17","-5.5"
"1991/07","","","21.41","6.0","16.23","5.3","19.45","7.0"
"1991/08","","","21.69","1.3","16.61","2.3","19.78","1.7"
"1991/09","","","21.88","0.9","17.80","7.2","20.54","3.8"
"1991/10","","","23.25","6.3","18.88","6.1","22.21","8.1"
"1991/11","","","22.41","-3.6","18.35","-2.8","21.11","-5.0"
"1991/12","","","19.47","-13.1","15.30","-16.6","18.25","-13.5"
"1992/01","","","18.81","-3.4","15.22","-0.5","18.16","-0.5"
"1992/02","","","19.07","1.4","15.72","3.3","18.11","-0.3"
"1992/03","","","18.93","-0.7","15.75","0.2","17.66","-2.5"
"1992/04","","","20.24","6.9","16.64","5.7","19.02","7.7"
"1992/05","","","21.00","3.8","17.59","5.7","19.98","5.0"
"1992/06","","","22.41","6.7","19.01","8.1","21.19","6.1"
"1992/07","","","21.76","-2.9","18.49","-2.7","20.33","-4.1"
"1992/08","","","21.37","-1.8","17.80","-3.7","19.79","-2.7"
"1992/09","","","21.89","2.4","18.38","3.3","20.29","2.5"
"1992/10","","","21.71","-0.8","18.14","-1.3","20.31","0.1"
"1992/11","","","20.35","-6.3","17.14","-5.5","19.20","-5.5"
"1992/12","","","19.45","-4.4","16.22","-5.4","18.27","-4.8"
"1993/01","","","19.09","-1.9","15.32","-5.5","17.51","-4.2"
"1993/02","","","20.08","5.2","16.05","4.8","18.45","5.4"
"1993/03","","","20.34","1.3","16.31","1.6","18.84","2.1"
"1993/04","","","20.28","-0.3","16.39","0.5","18.78","-0.3"
"1993/05","","","19.99","-1.4","16.12","-1.6","18.58","-1.1"
"1993/06","","","19.12","-4.4","15.64","-3.0","17.63","-5.1"
"1993/07","","","17.88","-6.5","14.21","-9.1","16.81","-4.7"
"1993/08","","","18.00","0.7","14.65","3.1","16.84","0.2"
"1993/09","","","17.53","-2.6","14.13","-3.5","16.14","-4.2"
"1993/10","","","18.17","3.7","14.75","4.4","16.64","3.1"
"1993/11","","","16.69","-8.1","13.79","-6.5","15.24","-8.4"
"1993/12","","","14.51","-13.1","12.22","-11.4","13.56","-11.0"
"1994/01","","","15.01","3.4","13.08","7.0","14.27","5.2"
"1994/02","","","14.77","-1.6","12.75","-2.5","13.77","-3.5"
"1994/03","","","14.65","-0.8","12.08","-5.3","13.77","0.0"
"1994/04","","","16.35","11.6","13.75","13.8","15.09","9.6"
"1994/05","","","17.83","9.1","14.79","7.6","16.42","8.8"
"1994/06","","","19.01","6.6","15.69","6.1","17.11","4.2"
"1994/07","","","19.62","3.2","16.40","4.5","18.12","5.9"
"1994/08","","","18.38","-6.3","15.93","-2.9","16.91","-6.7"
"1994/09","","","17.44","-5.1","15.25","-4.3","16.04","-5.1"
"1994/10","","","17.66","1.3","15.37","0.8","16.55","3.2"
"1994/11","","","18.09","2.4","15.92","3.6","17.41","5.2"
"1994/12","","","17.21","-4.9","15.46","-2.9","16.04","-7.9"
"1995/01","","","17.98","4.5","16.01","3.6","16.65","3.8"
"1995/02","","","18.54","3.1","16.55","3.4","17.27","3.7"
"1995/03","","","18.54","0.0","16.33","-1.3","17.24","-0.2"
"1995/04","","","19.76","6.6","17.38","6.4","18.82","9.2"
"1995/05","","","19.69","-0.4","17.29","-0.5","18.68","-0.7"
"1995/06","","","18.42","-6.4","16.19","-6.4","17.35","-7.1"
"1995/07","","","17.32","-6.0","15.07","-6.9","16.08","-7.3"
"1995/08","","","18.03","4.1","15.41","2.3","16.26","1.1"
"1995/09","","","18.22","1.1","15.53","0.8","16.69","2.6"
"1995/10","","","17.44","-4.3","14.87","-4.2","16.19","-3.0"
"1995/11","","","17.98","3.1","15.74","5.9","16.91","4.4"
"1995/12","","","19.05","6.0","17.17","9.1","18.24","7.9"
"1996/01","","","18.90","-0.8","16.72","-2.6","18.14","-0.5"
"1996/02","","","19.08","1.0","16.00","-4.3","17.85","-1.6"
"1996/03","","","21.33","11.8","16.97","6.1","19.81","11.0"
"1996/04","","","23.53","10.3","17.66","4.1","21.20","7.0"
"1996/05","","","21.27","-9.6","16.92","-4.2","19.32","-8.9"
"1996/06","","","20.44","-3.9","17.31","2.3","18.58","-3.8"
"1996/07","","","21.31","4.3","17.72","2.4","19.71","6.1"
"1996/08","","","21.93","2.9","18.60","5.0","20.61","4.6"
"1996/09","","","23.91","9.0","20.27","9.0","23.08","12.0"
"1996/10","","","24.90","4.1","21.63","6.7","24.27","5.2"
"1996/11","","","23.71","-4.8","20.95","-3.1","23.10","-4.8"
"1996/12","","","25.52","7.6","21.57","3.0","24.04","4.1"
"1997/01","","","25.20","-1.3","21.41","-0.7","23.61","-1.8"
"1997/02","","","22.22","-11.8","18.89","-11.8","20.92","-11.4"
"1997/03","","","20.97","-5.6","18.17","-3.8","19.56","-6.5"
"1997/04","","","19.72","-6.0","16.76","-7.8","17.78","-9.1"
"1997/05","","","20.85","5.7","18.48","10.3","19.25","8.3"
"1997/06","","","19.16","-8.1","17.27","-6.5","17.80","-7.5"
"1997/07","","","19.63","2.5","17.28","0.1","18.56","4.3"
"1997/08","","","19.93","1.5","17.69","2.4","18.82","1.4"
"1997/09","","","19.78","-0.8","17.96","1.5","18.58","-1.3"
"1997/10","","","21.26","7.5","19.06","6.1","20.13","8.3"
"1997/11","","","20.07","-5.6","18.51","-2.9","19.31","-4.1"
"1997/12","","","18.31","-8.8","16.35","-11.7","17.42","-9.8"
"1998/01","","","16.75","-8.5","13.70","-16.2","15.51","-11.0"
"1998/02","","","16.06","-4.1","12.44","-9.2","14.37","-7.4"
"1998/03","","","15.02","-6.5","11.51","-7.5","13.46","-6.3"
"1998/04","","","15.25","1.5","12.23","6.3","13.81","2.6"
"1998/05","","","14.85","-2.6","12.76","4.3","14.51","5.1"
"1998/06","","","13.66","-8.0","11.91","-6.7","13.06","-10.0"
"1998/07","","","14.10","3.2","12.04","1.1","12.52","-4.1"
"1998/08","","","13.36","-5.2","12.21","1.4","12.15","-3.0"
"1998/09","","","14.93","11.8","13.08","7.1","13.63","12.2"
